1 bfc00000 1b bfb00000
0 bfc0001c 1b 00000000
0 bfc00560 04 bfaf0000
0 bfc00564 04 bfaff008
0 bfc00568 05 bfaf0000
0 bfc0056c 05 bfaff004
0 bfc00570 06 bfaf0000
0 bfc00574 06 bfaff000
0 bfc00578 11 bfaf0000
0 bfc0057c 11 bfaff010
0 bfc00580 09 00000002
0 bfc00584 0a 00000001
0 bfc00588 0b 0000ffff
0 bfc0058c 13 00000000
0 bfc005a0 10 00000000
0 bfc005a4 1f bfc005ac
0 bfc006c0 10 00000001
0 bfc006c4 12 00000000
0 bfc006c8 0a 00010000
0 bfc006cc 09 00000003
0 bfc006d0 0a 00000000
0 bfc006dc 0a 00000003
0 bfc006e8 09 0000001f
0 bfc006ec 0a 00000000
0 bfc006f8 0a 0000001f
0 bfc00704 09 0000003a
0 bfc00708 0a 00000000
0 bfc00714 0a 0000001a
0 bfc00718 09 0000001a
0 bfc00724 09 fffffff0
0 bfc00728 0a 00000000
0 bfc00734 0a 00000010
0 bfc00738 09 00000010
0 bfc0074c 13 00000001
0 bfc00750 09 01000000
0 bfc00754 08 01000001
0 bfc005ac 1f bfc005b4
0 bfc00674 09 bfaf0000
0 bfc00678 09 bfaffff4
0 bfc0067c 08 00000000
0 bfc00680 0a ffffffff
0 bfc006a4 08 00000001
0 bfc006a8 08 00000000
0 bfc005b4 1f bfc005bc
0 bfc00d10 10 00000002
0 bfc00d14 12 00000000
0 bfc00d18 0a 00010000
0 bfc00d1c 09 ffffe0ff
0 bfc00d20 0a 00000000
0 bfc00d2c 0a ffffe0ff
0 bfc00d38 09 10000000
0 bfc00d3c 09 10000001
0 bfc00d40 0a 00000000
0 bfc00d4c 0a 10000001
0 bfc00d58 09 ffffffff
0 bfc00d5c 0a 00000000
0 bfc00d68 0a ffffe0ff
0 bfc00d6c 09 ffffe0ff
0 bfc00d78 09 00001f00
0 bfc00d7c 0a 00000001
0 bfc00d88 0a 00000000
0 bfc00d8c 09 00000000
0 bfc00da0 13 00000002
0 bfc00da4 09 02000000
0 bfc00da8 08 02000002
0 bfc005bc 1f bfc005c4
0 bfc00674 09 bfaf0000
0 bfc00678 09 bfaffff4
0 bfc0067c 08 00000000
0 bfc00680 0a ffffffff
0 bfc006a4 08 00000001
0 bfc006a8 08 00000000
0 bfc005c4 1f bfc005cc
0 bfc00b40 10 00000003
0 bfc00b44 12 00000000
0 bfc00b48 0a 00010000
0 bfc00b4c 09 03ff0000
0 bfc00b50 09 03ffffff
0 bfc00b54 0a 00000000
0 bfc00b60 0a 03ffffff
0 bfc00b6c 09 0000001f
0 bfc00b70 0a 00000000
0 bfc00b7c 0a 0000001f
0 bfc00b88 09 ffffffff
0 bfc00b8c 0a 00000000
0 bfc00b98 0a 03ffffff
0 bfc00b9c 09 03ff0000
0 bfc00ba0 09 03ffffff
0 bfc00bac 09 fc000000
0 bfc00bb0 0a 00000001
0 bfc00bbc 0a 00000000
0 bfc00bc0 09 00000000
0 bfc00bd4 13 00000003
0 bfc00bd8 09 03000000
0 bfc00bdc 08 03000003
0 bfc005cc 1f bfc005d4
0 bfc00674 09 bfaf0000
0 bfc00678 09 bfaffff4
0 bfc0067c 08 00000000
0 bfc00680 0a ffffffff
0 bfc006a4 08 00000001
0 bfc006a8 08 00000000
0 bfc005d4 1f bfc005dc
0 bfc00c60 10 00000004
0 bfc00c64 12 00000000
0 bfc00c68 0a 00010000
0 bfc00c6c 09 03ff0000
0 bfc00c70 09 03ffffff
0 bfc00c74 0a 00000000
0 bfc00c80 0a 03ffffff
0 bfc00c8c 09 0000001f
0 bfc00c90 0a 00000000
0 bfc00c9c 0a 0000001f
0 bfc00ca8 09 ffffffff
0 bfc00cac 0a 00000000
0 bfc00cb8 0a 03ffffff
0 bfc00cbc 09 03ff0000
0 bfc00cc0 09 03ffffff
0 bfc00ccc 09 fc000000
0 bfc00cd0 0a 00000001
0 bfc00cdc 0a 00000000
0 bfc00ce0 09 00000000
0 bfc00cf4 13 00000004
0 bfc00cf8 09 04000000
0 bfc00cfc 08 04000004
0 bfc005dc 1f bfc005e4
0 bfc00674 09 bfaf0000
0 bfc00678 09 bfaffff4
0 bfc0067c 08 00000000
0 bfc00680 0a ffffffff
0 bfc006a4 08 00000001
0 bfc006a8 08 00000000
0 bfc005e4 1f bfc005ec
0 bfc00dc0 10 00000005
0 bfc00dc4 12 00000000
0 bfc00dc8 0a 00010000
0 bfc00dcc 09 00000000
0 bfc00dd0 0a 00000001
0 bfc00ddc 0a 00000000
0 bfc00de8 13 00000005
0 bfc00dec 09 05000000
0 bfc00df0 08 05000005
0 bfc005ec 1f bfc005f4
0 bfc00674 09 bfaf0000
0 bfc00678 09 bfaffff4
0 bfc0067c 08 00000000
0 bfc00680 0a ffffffff
0 bfc006a4 08 00000001
0 bfc006a8 08 00000000
0 bfc005f4 1f bfc005fc
0 bfc00770 10 00000006
0 bfc00774 12 00000000
0 bfc00778 0a 00010000
0 bfc00780 09 00230000
0 bfc00784 09 00234500
0 bfc0078c 0a 00780000
0 bfc00790 0a 00789a00
0 bfc00798 02 00000000
0 bfc0079c 03 0000001d
0 bfc007a0 08 bfc00000
0 bfc007a4 08 bfc00010
0 bfc007b4 0b ffffffff
0 bfc007cc 07 00000000
0 bfc007d0 04 bfc00010
0 bfc007d4 05 00234500
0 bfc007d8 06 00789a00
0 bfc00800 02 00000001
0 bfc00804 08 bfc02010
0 bfc007b4 0b ffffffff
0 bfc007cc 07 00000000
0 bfc007d0 04 bfc02010
